iter	RMSE
0	9.039502143
1	8.64887665
2	8.240664889
3	7.904817223
4	7.559110004
5	7.27124564
6	6.967989797
7	6.700593365
8	6.423535148
9	6.184799579
10	5.936320119
11	5.721818401
12	5.537949231
13	5.33431365
14	5.143701878
15	4.972461204
16	4.799237868
17	4.652414522
18	4.51765446
19	4.371577013
20	4.237630273
21	4.101056853
22	3.978644298
23	3.856069306
24	3.757898794
25	3.662302983
26	3.565959914
27	3.483265915
28	3.391918473
29	3.298236178
30	3.213557792
31	3.147864813
32	3.069664554
33	2.984664728
34	2.925325121
35	2.861106794
36	2.810239548
37	2.733446877
38	2.676861992
39	2.617801049
40	2.57231794
41	2.504744854
42	2.467770974
43	2.413175305
44	2.368496811
45	2.322969133
46	2.276742461
47	2.230388621
48	2.19278563
49	2.16103887
50	2.120054633
51	2.078120893
52	2.044552329
53	2.009496557
54	1.979052005
55	1.944785712
56	1.914783915
57	1.88875063
58	1.85854597
59	1.837811269
60	1.810687267
61	1.789544169
62	1.772921281
63	1.745701361
64	1.72708003
65	1.697748282
66	1.67304858
67	1.651666651
68	1.631483269
69	1.611638034
70	1.598175611
71	1.582493546
72	1.569798772
73	1.555196705
74	1.538030277
75	1.526080654
76	1.511339472
77	1.499787896
78	1.488670041
79	1.478213244
80	1.465929638
81	1.453634736
82	1.441737831
83	1.430574665
84	1.419902972
85	1.409234571
86	1.402131102
87	1.39498549
88	1.387879708
89	1.374397654
90	1.36326543
91	1.355896093
92	1.347012401
93	1.340538859
94	1.329865611
95	1.32426218
96	1.318986579
97	1.312024715
98	1.303299574
99	1.295989588
100	1.290219576
101	1.280739471
102	1.27318472
103	1.264760043
104	1.258420514
105	1.254652373
106	1.248225822
107	1.241729799
108	1.235489306
109	1.231828137
110	1.228618881
111	1.221882653
112	1.217794102
113	1.21477556
114	1.211582293
115	1.204583534
116	1.197845555
117	1.192222778
118	1.186601092
119	1.181203184
120	1.17765936
121	1.174866786
122	1.171009055
123	1.167108231
124	1.162130391
125	1.159181308
126	1.156610706
127	1.154482998
128	1.150255645
129	1.147659545
130	1.143596198
131	1.140650881
132	1.137064683
133	1.134843452
134	1.13199683
135	1.130177251
136	1.127424605
137	1.12262375
138	1.119793416
139	1.117751535
140	1.115783337
141	1.113355528
142	1.112027266
143	1.109799373
144	1.107955909
145	1.10573941
146	1.103388439
147	1.101606694
148	1.098194662
149	1.095657572
150	1.094478175
151	1.092958325
152	1.090447321
153	1.089191599
154	1.088088123
155	1.086254153
156	1.084267319
157	1.082924506
158	1.079307178
159	1.077282774
160	1.074657448
161	1.073353336
162	1.071399963
163	1.069779269
164	1.068807001
165	1.067487979
166	1.06641797
167	1.064528724
168	1.063022037
169	1.061709895
170	1.058237846
171	1.057390686
172	1.056559187
173	1.055685109
174	1.05435199
175	1.05358993
176	1.05218052
177	1.049585138
178	1.04839723
179	1.047257111
180	1.04656939
181	1.044306279
182	1.04302402
183	1.041978886
184	1.040991754
185	1.040043601
186	1.038455376
187	1.037927431
188	1.037389833
189	1.036496994
190	1.035485115
191	1.034844448
192	1.034079449
193	1.032854461
194	1.031859118
195	1.030222007
196	1.029733894
197	1.029172404
198	1.027924018
199	1.027430012
200	1.023932736
201	1.022996819
202	1.01760963
203	1.016662599
204	1.016133561
205	1.01563461
206	1.014787334
207	1.013646698
208	1.013272636
209	1.008248423
210	1.006378695
211	1.005532196
212	1.004346163
213	1.002517053
214	1.002062359
215	1.001783341
216	1.001122939
217	1.000489199
218	0.9958549773
219	0.9952584877
220	0.9947263519
221	0.9944223716
222	0.9941053836
223	0.9934381235
224	0.9895626559
225	0.9887308843
226	0.9879720185
227	0.9863266575
228	0.9858882665
229	0.9853496671
230	0.9829874991
231	0.9825617701
232	0.9817866424
233	0.9813149651
234	0.9806317055
235	0.9773221528
236	0.9767755263
237	0.9758561694
238	0.9735397643
239	0.9728503397
240	0.9721358129
241	0.9716867295
242	0.9710697903
243	0.9705160008
244	0.9698698692
245	0.9695990888
246	0.9687963476
247	0.9671164875
248	0.966303247
249	0.965576336
250	0.9650227525
251	0.9645710219
252	0.9634995701
253	0.9628529461
254	0.9626345412
255	0.962160575
256	0.9609204296
257	0.9601726588
258	0.959375903
259	0.9587474217
260	0.9583771893
261	0.9576592601
262	0.9571992215
263	0.9563539195
264	0.9548596251
265	0.9543011402
266	0.9538170663
267	0.9523388955
268	0.9517078093
269	0.9513888092
270	0.9491029152
271	0.9478858158
272	0.9474668476
273	0.9469997716
274	0.9464772462
