iter	Passed	Remaining
0	59	59840
1	63	31844
2	67	22292
3	70	17574
4	74	14876
5	78	13051
6	82	11711
7	86	10681
8	89	9843
9	92	9170
10	95	8621
11	99	8158
12	102	7765
13	105	7432
14	108	7141
15	111	6877
16	115	6651
17	117	6434
18	121	6249
19	124	6090
20	127	5937
21	130	5793
22	133	5678
23	136	5565
24	139	5455
25	142	5350
26	146	5265
27	149	5196
28	152	5111
29	155	5039
30	159	4970
31	161	4898
32	164	4832
33	167	4770
34	170	4709
35	173	4657
36	177	4609
37	179	4553
38	182	4506
39	185	4461
40	188	4418
41	191	4374
42	194	4331
43	197	4294
44	200	4261
45	204	4232
46	206	4196
47	209	4164
48	213	4136
49	216	4107
50	219	4075
51	222	4052
52	225	4027
53	228	3999
54	231	3974
55	234	3948
56	237	3926
57	240	3904
58	243	3881
59	246	3860
60	249	3835
61	251	3812
62	255	3794
63	258	3773
64	261	3755
65	263	3735
66	266	3717
67	270	3705
68	273	3688
69	276	3667
70	279	3651
71	282	3636
72	285	3620
73	288	3605
74	291	3593
75	294	3579
76	297	3564
77	300	3549
78	303	3534
79	306	3520
80	308	3505
81	311	3490
82	314	3477
83	317	3466
84	320	3452
85	323	3437
86	326	3423
87	329	3414
88	332	3401
89	335	3392
90	338	3382
91	341	3369
92	344	3358
93	347	3351
94	350	3341
95	354	3338
96	357	3326
97	360	3317
98	363	3307
99	366	3296
100	369	3286
101	372	3277
102	375	3267
103	378	3259
104	381	3250
105	384	3240
106	387	3232
107	390	3223
108	393	3217
109	396	3206
110	399	3198
111	401	3186
112	404	3178
113	407	3168
114	410	3157
115	413	3149
116	416	3142
117	419	3134
118	422	3127
119	425	3120
120	428	3114
121	431	3106
122	435	3102
123	438	3094
124	441	3088
125	444	3080
126	446	3070
127	450	3066
128	453	3060
129	456	3054
130	459	3046
131	462	3039
132	465	3033
133	468	3026
134	471	3021
135	474	3016
136	477	3009
137	480	3004
138	483	2997
139	486	2989
140	489	2983
141	492	2975
142	495	2967
143	498	2961
144	501	2956
145	503	2947
146	506	2941
147	510	2936
148	513	2932
149	516	2926
150	519	2919
151	522	2914
152	525	2908
153	528	2902
154	531	2898
155	534	2893
156	537	2887
157	540	2881
158	544	2878
159	547	2875
160	550	2871
161	553	2865
162	557	2861
163	560	2856
164	563	2850
165	566	2845
166	569	2839
167	572	2836
168	575	2831
169	578	2826
170	581	2820
171	584	2816
172	587	2810
173	590	2804
174	594	2801
175	597	2795
176	600	2791
177	603	2786
178	606	2781
179	609	2777
180	612	2771
181	615	2768
182	619	2764
183	622	2758
184	625	2753
185	628	2748
186	631	2743
187	633	2738
188	636	2732
189	639	2727
190	642	2722
191	645	2718
192	649	2714
193	652	2710
194	655	2706
195	658	2702
196	661	2697
197	664	2692
198	667	2687
199	670	2681
200	673	2676
201	676	2673
202	680	2669
203	682	2665
204	685	2660
205	688	2654
206	692	2651
207	695	2647
208	698	2642
209	701	2639
210	704	2635
211	707	2630
212	710	2626
213	714	2623
214	717	2619
215	720	2613
216	723	2609
217	726	2604
218	729	2602
219	733	2599
220	736	2595
221	738	2589
222	741	2584
223	744	2579
224	747	2575
225	750	2571
226	753	2566
227	756	2561
228	759	2557
229	762	2552
230	766	2550
231	769	2546
232	772	2543
233	775	2538
234	778	2534
235	781	2530
236	784	2525
237	787	2522
238	791	2518
239	794	2514
240	797	2510
241	800	2506
242	803	2502
243	806	2498
244	809	2495
245	812	2491
246	815	2487
247	818	2483
248	822	2479
249	825	2475
250	828	2472
251	832	2470
252	835	2467
253	838	2462
254	842	2460
255	845	2457
256	848	2454
257	851	2450
258	855	2446
259	858	2442
260	861	2439
261	864	2435
262	868	2432
263	871	2429
264	874	2425
265	877	2422
266	881	2419
267	884	2415
268	887	2411
269	890	2407
270	893	2403
271	896	2399
272	899	2396
273	902	2391
274	906	2388
275	909	2385
276	911	2380
277	915	2376
278	917	2372
279	921	2369
280	924	2365
281	927	2361
282	930	2356
283	933	2352
284	936	2348
285	939	2346
286	943	2343
287	946	2339
288	949	2336
289	952	2332
290	955	2328
291	958	2324
292	961	2320
293	964	2316
294	968	2313
295	971	2310
296	974	2306
297	977	2302
298	980	2298
299	983	2295
300	986	2291
301	990	2288
302	993	2284
303	995	2280
304	999	2277
305	1002	2274
306	1006	2271
307	1009	2269
308	1012	2264
309	1016	2262
310	1019	2259
311	1022	2255
312	1025	2251
313	1028	2247
314	1031	2243
315	1035	2240
316	1038	2237
317	1041	2234
318	1044	2230
319	1047	2226
320	1050	2222
321	1053	2218
322	1056	2214
323	1059	2210
324	1062	2206
325	1066	2204
326	1069	2200
327	1072	2196
328	1075	2192
329	1078	2189
330	1081	2185
331	1084	2181
332	1087	2178
333	1090	2174
334	1093	2171
335	1096	2166
336	1099	2163
337	1103	2160
338	1106	2156
339	1109	2152
340	1111	2148
341	1114	2144
342	1118	2142
343	1121	2139
344	1124	2135
345	1128	2132
346	1131	2129
347	1134	2125
348	1137	2121
349	1140	2118
350	1143	2114
351	1147	2112
352	1150	2108
353	1152	2104
354	1156	2100
355	1159	2096
356	1161	2092
357	1165	2089
358	1168	2085
359	1171	2082
360	1174	2078
361	1177	2075
362	1180	2071
363	1183	2067
364	1186	2064
365	1190	2061
366	1193	2058
367	1196	2054
368	1199	2050
369	1202	2047
370	1205	2043
371	1208	2039
372	1211	2036
373	1214	2032
374	1217	2028
375	1220	2025
376	1223	2022
377	1226	2018
378	1230	2016
379	1233	2012
380	1236	2009
381	1240	2006
382	1243	2002
383	1246	1998
384	1249	1995
385	1251	1991
386	1255	1988
387	1257	1984
388	1260	1980
389	1263	1976
390	1266	1973
391	1270	1970
